Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/login,34914,0,370,379.6198607177626,249.82619998627342,750.8317999891005,328.8987798590823,29.113755597530254,0.0,370,390,400,410,440,470,500,530,620,700,750
POST,/api/chat [全流程] [完整回答],4498,0,790,804.0114950646314,667.8957999974955,1315.1708000223152,0.0,3.750749632745921,0.0,790,820,840,860,910,960,1000,1100,1200,1300,1300
POST,/api/chat [全流程] [首字延迟],4498,0,81,96.2587350378749,24.834000010741875,538.6956000002101,0.0,3.750749632745921,0.0,81,100,120,130,170,200,260,300,430,540,540
POST,/api/chat [缓存命中] [完整回答],5225,0,74,95.06502279438051,23.065100016538054,597.9432000021916,0.0,4.356973506246651,0.0,74,100,120,140,180,230,310,360,510,600,600
POST,/api/chat [缓存命中] [首字延迟],5225,0,56,72.07860158838255,15.800599998328835,501.17089998093434,0.0,4.356973506246651,0.0,56,76,94,100,140,180,230,300,430,500,500
GET,/api/conversations [列表],4453,0,18,27.928311205866187,6.080399994971231,282.7631999971345,4792.131372108691,3.7132254590079112,0.0,18,28,36,41,56,74,100,160,260,280,280
DELETE,/api/conversations [删除],1394,0,22,37.62069533714257,8.67919999291189,447.72569998167455,51.89383070301291,1.1624155153507811,0.0,22,36,46,53,80,110,160,230,420,450,450
GET,/api/conversations [历史消息],2903,0,19,28.829181191903327,6.605799979297444,295.8838999911677,2.0,2.420726141365364,0.0,19,31,38,43,59,75,100,130,250,300,300
POST,/api/conversations [新建],2915,0,23,37.544322469572045,7.947500009322539,603.050700010499,123.03259005145797,2.4307325876955,0.0,23,38,48,54,79,100,160,200,390,600,600
GET,/api/health,23670,0,4,5.902459539448859,1.4683000044897199,198.82319998578168,101.0,19.737715386192964,0.0,4,4,5,6,8,16,35,51,160,190,200
,Aggregated,89695,0,96,208.33313784378643,1.4683000044897199,1315.1708000223152,397.4579296504822,74.79401696512791,0.0,96,350,370,380,430,680,810,860,1000,1200,1300
